Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
178,0.353614889,0.515760098,0.685416957,0.860689654,0.643834812,0.424437113,0.44086868,0.605010525,0.593771167,0.559016994,0.554375932,0.538597272,0.531710475
179,0.442376521,0.545152313,0.844293561,0.879089616,0.81848988,0.527380068,0.489730486,0.653004666,0.677501764,0.707106781,0.503409342,0.518040854,0.52745638
180,0.800286328,0.575849244,0.873834314,0.710010319,0.756076939,0.741604574,0.717247274,0.826449556,0.852638392,0.883883477,0.687230466,0.675681096,0.73813683
181,0.464566929,0.564001039,0.874728102,0.669215896,0.68364822,0.55989589,0.544882822,0.632455532,0.666236649,0.637377439,0.488544347,0.508848264,0.591432212
182,0.434502505,0.514309199,0.795155136,0.779204108,0.700572246,0.494103452,0.53480835,0.73715414,0.695341984,0.707106781,0.531878949,0.536466344,0.565023942
183,0.59341446,0.522595727,0.764294425,0.767711066,0.752050988,0.572799968,0.59986922,0.826449556,0.776019866,0.75,0.626917452,0.654754044,0.637312727
184,0.528274875,0.470936619,0.471083392,0.882775119,0.807130262,0.462577386,0.482393285,0.835531691,0.792044794,0.75,0.670430594,0.696716222,0.580437329
185,0.25841088,0.666740585,0.935230383,0.690909091,0.66459113,0.47334325,0.477750315,0.467833223,0.486654992,0.5,0.336030825,0.346275383,0.447378697
186,0.513958482,0.808961445,0.984834848,0.809774436,0.579673269,0.763345697,0.757864143,0.524853978,0.606123522,0.637377439,0.38699878,0.405542218,0.675568754
187,0.231925555,0.546575549,0.763624745,0.742764352,0.689215309,0.366652543,0.377694787,0.479779824,0.484077276,0.5,0.41625309,0.41954737,0.416192277
188,0.440944882,0.651763292,0.932891597,0.686159844,0.617073871,0.609826864,0.592692062,0.60812114,0.611773486,0.637377439,0.458906638,0.450930253,0.606485953
189,0.530422334,0.564007746,0.845474654,0.75,0.614868913,0.587611681,0.644575743,0.739709275,0.704078056,0.707106781,0.5750055,0.575618472,0.6663721
