Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
94,0.286327845,0.518046002,0.813996836,0.883327198,0.881384556,0.406915551,0.392739019,0.549442256,0.58107005,0.559016994,0.410481193,0.426448952,0.408927434
95,0.486041518,0.611935061,0.913714808,0.658743633,0.620809359,0.611977749,0.592692062,0.653004666,0.654618698,0.637377439,0.49985948,0.4898913,0.634826034
96,0.216893343,0.462986503,0.357496553,0.959240205,0.939157253,0.287477255,0.278829835,0.556267887,0.550201239,0.530330086,0.41625309,0.456215489,0.344787193
97,0.365783822,0.489355266,0.734620647,0.890308529,0.944464519,0.429502573,0.407665495,0.68680282,0.67858328,0.707106781,0.490558972,0.512664308,0.446494996
98,0.633500358,0.844177545,0.977892778,0.532330826,0.50375008,0.860588956,0.819910924,0.566352114,0.624249911,0.637377439,0.521860101,0.485626672,0.804568528
99,0.27845383,0.556078755,0.816463891,0.726876362,0.618042178,0.416278448,0.453627006,0.552865605,0.523575742,0.530330086,0.448963805,0.434134684,0.481575865
100,0.64781675,0.495707157,0.637189585,0.858226647,0.682549377,0.552344473,0.579764574,0.835531691,0.804904586,0.790569415,0.708549035,0.736850135,0.698966276
101,0.586256263,0.660631018,0.934881052,0.718421052,0.673492372,0.708700618,0.675244976,0.626460558,0.696795,0.707106781,0.507216922,0.519291261,0.669382848
102,0.35146743,0.506186108,0.748276367,0.880980861,0.72728064,0.430908595,0.42752147,0.626460558,0.621501914,0.637377439,0.469853067,0.504542707,0.498756653
103,0.220472441,0.458200706,0.107678917,0.972631579,0.922163592,0.28039906,0.275290017,0.579524854,0.56160635,0.54467354,0.424017538,0.471457791,0.350808689
104,0.5182534,0.636147927,0.929605895,0.659831396,0.6134095,0.651496064,0.637062624,0.605010525,0.653790882,0.637377439,0.466754861,0.488848697,0.659466902
105,0.238367931,0.536589515,0.801831999,0.741854636,0.729310951,0.375508184,0.382386828,0.495260556,0.511633537,0.530330086,0.404433759,0.402776798,0.41017078
106,0.323550465,0.463712326,0.487278577,0.878380566,0.897722973,0.360994594,0.344614155,0.661616088,0.645437274,0.637377439,0.506910937,0.538754212,0.430721963
107,0.519685039,0.732680714,0.959728551,0.6033241,0.617429988,0.715984629,0.654867651,0.605010525,0.629018467,0.637377439,0.464024755,0.459510261,0.658223556
108,0.174659986,0.489184381,0.676113223,0.815371763,0.897812182,0.289890622,0.28764378,0.467833223,0.484025451,0.5,0.342252541,0.371684435,0.316447112
109,0.701503221,1,0.995495979,0.410578685,0.394033147,1,0.998751003,0.617358952,0.605047905,0.637377439,0.512209974,0.475586349,0.957294642
110,0.283464567,0.48523431,0.656392665,0.812030075,0.792995173,0.364599109,0.362763997,0.566352114,0.580809536,0.559016994,0.468020569,0.477290745,0.428954561
111,0.599856836,0.691096204,0.959678354,0.832174776,0.698715374,0.746984721,0.722696054,0.641342931,0.701085188,0.707106781,0.471128949,0.479554619,0.664769107
112,0.319971367,0.499492053,0.751661608,0.868663968,0.887792408,0.409152144,0.408757555,0.641342931,0.62568096,0.637377439,0.45785504,0.476706783,0.430721963
113,0.202576951,0.487114993,0.719100141,0.810597923,0.785050013,0.317081498,0.293169993,0.467833223,0.507828651,0.5,0.359743246,0.386352041,0.364454674
114,0.488188976,0.600668887,0.867650254,0.64626683,0.636612521,0.58961445,0.583290875,0.605010525,0.640751539,0.637377439,0.555084949,0.546377094,0.628280483
115,0.477451682,0.468065835,0.606353035,0.93614035,0.947152084,0.45604203,0.434759349,0.798583652,0.784242223,0.75,0.588670766,0.625541936,0.509391891
116,0.757337151,0.53639493,0.628091644,0.64623842,0.608095891,0.61901881,0.617880275,0.894427191,0.820800958,0.75,0.810655803,0.832858485,0.800674079
117,0.312813171,0.501296998,0.626176598,0.766666666,0.754688423,0.384890677,0.395453837,0.60812114,0.59015336,0.559016994,0.504056311,0.518762472,0.461908383
118,0.501789549,0.606572398,0.904372377,0.725203672,0.683725997,0.615118802,0.598530059,0.626460558,0.668584756,0.707106781,0.503146427,0.509440677,0.614634497
119,0.360057266,0.568694588,0.877980856,0.740522635,0.651228046,0.49616146,0.462965076,0.566352114,0.586414129,0.559016994,0.442306367,0.446773017,0.533477877
120,0.505368647,0.547354965,0.780921851,0.805591214,0.6760895,0.545546962,0.548958292,0.739709275,0.712262591,0.707106781,0.601254464,0.607102145,0.620296348
121,0.534717251,0.503492967,0.666900368,0.775969529,0.717395096,0.511571533,0.528266619,0.769709575,0.740095569,0.728868987,0.648796108,0.662435896,0.619412647
122,0.283464567,0.536373887,0.831488802,0.744360902,0.731913796,0.415988207,0.376038742,0.521246691,0.546671393,0.559016994,0.415327682,0.420514141,0.446494996
123,0.360057266,0.593868909,0.896167401,0.68319185,0.666181893,0.513003935,0.500534664,0.549442256,0.581335553,0.559016994,0.435469029,0.436850583,0.52745638
124,0.62992126,0.677091772,0.940098149,0.687432868,0.653376261,0.74649112,0.705086472,0.739709275,0.713815402,0.728868987,0.537483185,0.53358586,0.704463717
125,0.291338583,0.500021164,0.781700016,0.966363276,0.856991458,0.396480503,0.371026259,0.579524854,0.597450189,0.559016994,0.41625309,0.440640612,0.418319324
126,0.420901933,0.550924486,0.844664943,0.772075719,0.662354996,0.517279739,0.537469105,0.617358952,0.629857506,0.637377439,0.53048367,0.507680623,0.57192914
127,0.564065855,0.528841654,0.825790793,0.896728307,0.845243674,0.580174883,0.545046426,0.700404196,0.76485545,0.790569415,0.559174593,0.593639654,0.58609918
128,0.634931997,0.69835515,0.955203372,0.579028968,0.590759551,0.769816615,0.775194973,0.68680282,0.697447172,0.707106781,0.51951526,0.507672229,0.743798681
129,0.348604152,0.583499812,0.894248177,0.716967243,0.741752429,0.499757508,0.466418656,0.549442256,0.588963728,0.637377439,0.405130305,0.428239765,0.491851456
130,0.38940587,0.500762536,0.758511235,0.867623604,0.846154693,0.453259528,0.447691814,0.675724628,0.671662248,0.637377439,0.531878949,0.522726279,0.48671366
131,0.466714388,0.475506475,0.639038195,0.924331029,0.887807827,0.459730344,0.43146567,0.77702869,0.759475011,0.75,0.584016174,0.612218633,0.520191537
132,0.460272011,0.556545294,0.870430527,0.922966507,0.792994115,0.55213563,0.529109822,0.641342931,0.67809109,0.707106781,0.485628605,0.507809319,0.546599807
133,0.309949893,0.48829939,0.72649053,0.887901572,0.806077197,0.393615737,0.369340315,0.566352114,0.609323791,0.637377439,0.485628605,0.475001679,0.444892004
134,0.489620616,0.588230126,0.896694586,0.857142857,0.657655374,0.595329746,0.550094013,0.614295117,0.667438583,0.707106781,0.487615171,0.506077347,0.619053002
135,0.72154617,0.773652903,0.976682198,0.964593301,0.638131816,0.878345663,0.788310641,0.626460558,0.720418132,0.728868987,0.46468487,0.500512985,0.762911281
136,0.40730136,0.602363477,0.918360842,0.859733065,0.793042879,0.557767158,0.526067965,0.579524854,0.632195382,0.637377439,0.420835185,0.438550052,0.51417004
137,0.538296349,0.526220958,0.766676262,0.714206569,0.754614498,0.548144144,0.533138635,0.716385055,0.717522167,0.728868987,0.582754327,0.624244478,0.605961898
138,0.42591267,0.593500012,0.908553309,0.916559691,0.753239378,0.562305046,0.542258446,0.605010525,0.647933608,0.637377439,0.439378262,0.458816533,0.539499373
139,1,0.612983304,0.66475997,0.524563489,0.514747618,0.770521059,0.879509979,0.990521113,0.861090446,0.790569415,1,1,1
